N	pi_value
1093000	3.1400402561756633
1094000	3.1400109689213895
1095000	3.140043835616438
1096000	3.1400985401459853
1097000	3.140105742935278
1098000	3.1400582877959926
1099000	3.1400655141037306
1100000	3.1401090909090907
1101000	3.1400799273387827
1102000	3.1400689655172416
1103000	3.1401414324569354
1104000	3.140217391304348
1105000	3.140166515837104
1106000	3.140133815551537
1107000	3.1400831074977416
1108000	3.140075812274368
1109000	3.1400613165013525
1110000	3.1400036036036036
1111000	3.139996399639964
1112000	3.1399640287769786
1113000	3.139989218328841
1114000	3.140028725314183
1115000	3.140057399103139
1116000	3.1399068100358423
1117000	3.1398495971351834
1118000	3.1398211091234347
1119000	3.1398141197497766
1120000	3.1397785714285713
1121000	3.139793041926851
1122000	3.1398502673796793
1123000	3.139918076580588
1124000	3.1398540925266905
1125000	3.139886222222222
1126000	3.1398650088809945
1127000	3.1399396628216505
1128000	3.139918439716312
1129000	3.1399291408325953
1130000	3.1399469026548674
1131000	3.1399363395225466
1132000	3.1399611307420496
1133000	3.139975286849073
1134000	3.1399929453262785
1135000	3.1399859030837005
1136000	3.1400070422535213
1137000	3.1399507475813544
1138000	3.140031634446397
1139000	3.1400456540825283
1140000	3.1400315789473683
1141000	3.1400175284837863
1142000	3.1400665499124343
1143000	3.140087489063867
1144000	3.1400279720279722
1145000	3.1400174672489083
1146000	3.139958115183246
1147000	3.1399197907585004
1148000	3.1399581881533103
1149000	3.1398920800696257
1150000	3.139846956521739
1151000	3.139826238053866
1152000	3.139777777777778
1153000	3.139836947094536
1154000	3.1398266897746967
1155000	3.139851082251082
1156000	3.139923875432526
1157000	3.139951598962835
1158000	3.1400310880829014
1159000	3.1400414150129423
1160000	3.14
1161000	3.1400241171403964
1162000	3.1400034423407917
1163000	3.1399965606190885
1164000	3.139993127147766
1165000	3.1398763948497854
1166000	3.1398319039451117
1167000	3.1398457583547557
1168000	3.139900684931507
1169000	3.139917878528657
1170000	3.139842735042735
1171000	3.1399009393680615
1172000	3.1399351535836177
1173000	3.140013640238704
1174000	3.1400647359454856
1175000	3.140047659574468
1176000	3.1400816326530614
1177000	3.140071367884452
1178000	3.140064516129032
1179000	3.1399626802374896
1180000	3.139949152542373
1181000	3.139922099915326
1182000	3.139871404399323
1183000	3.1399154691462385
1184000	3.1399256756756757
1185000	3.1398818565400846
1186000	3.139912310286678
1187000	3.1398786857624263
1188000	3.1398821548821547
1189000	3.1399091673675357
1190000	3.1398453781512603
1191000	3.1397649034424853
1192000	3.139708053691275
1193000	3.1397518860016764
1194000	3.1397554438860973
1195000	3.1397623430962343
1196000	3.1397458193979935
1197000	3.139702589807853
1198000	3.139752921535893
1199000	3.139773144286906
1200000	3.139736666666667
1201000	3.1397468776019983
1202000	3.139757071547421
1203000	3.139720698254364
1204000	3.1397607973421926
